rxn_smiles,barrier
[CH:3]#[N+:4][C-:5]([CH3:6])[C:7]#[N:8].[CH2:1]=[CH:2][CH3:9]>>[CH3:1][CH:2]1[CH:3]=[N:4][C:5]([CH3:6])([C:7]#[N:8])[CH2:9]1,15.875895621136172
[CH:4]#[N+:5][C-:6]([CH3:7])[C:8]#[N:9].[CH2:1]=[CH:2][CH3:3]>>[CH3:1][CH:2]1[CH2:3][CH:4]=[N:5][C:6]1([CH3:7])[C:8]#[N:9],15.155476944785311
[CH:5]#[C:6][CH3:7].[CH3:1][C:2](=[O:3])[C:4]#[N+:9][O-:8]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][c:6]([CH3:7])[o:8][n:9]1,18.01382414212364
[CH:7]#[C:8][CH3:9].[CH3:1][C:2](=[O:3])[C:4]#[N+:5][O-:6]>>[CH3:1][C:2](=[O:3])[c:4]1[n:5][o:6][cH:7][c:8]1[CH3:9],23.6870788323347
[C:8]([CH3:9])#[C:10][CH3:11].[CH3:1][C:2](=[O:3])[C:4]#[N+:5][N-:6][CH3:7]>>[CH3:1][C:2](=[O:3])[c:4]1[n:5][n:6]([CH3:7])[c:8]([CH3:9])[c:10]1[CH3:11],23.4380941749408
[CH:8]([CH3:9])=[O+:10][O-:11].[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[CH:8]([CH3:9])[O:10][O:11]1,20.96980130379149
[O-:8][O+:9]=[CH:10][CH3:11].[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][F:7]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[O:8][O:9][CH:10]1[CH3:11],11.722624703853556
[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][CH3:7].[CH:8]([CH3:9])=[O+:10][CH2-:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([CH3:7])[CH:8]([CH3:9])[O:10][CH2:11]1,7.2680437229602655
[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][CH3:7].[CH2-:8][O+:9]=[CH:10][CH3:11]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([CH3:7])[CH2:8][O:9][CH:10]1[CH3:11],6.289672901608013
[CH:6]#[C:7][CH3:8].[CH3:1][O:2][C:3](=[O:4])[N-:5][NH+:13]=[C:9]([CH3:10])[C:11]#[N:12]>>[CH3:1][O:2][C:3](=[O:4])[N:5]1[CH:6]=[C:7]([CH3:8])[C:9]([CH3:10])([C:11]#[N:12])[NH:13]1,30.62815208822521
[CH:11]#[C:12][CH3:13].[CH3:1][O:2][C:3](=[O:4])[N-:5][NH+:6]=[C:7]([CH3:8])[C:9]#[N:10]>>[CH3:1][O:2][C:3](=[O:4])[N:5]1[NH:6][C:7]([CH3:8])([C:9]#[N:10])[CH:11]=[C:12]1[CH3:13],27.26830619740928
[C:10]([F:11])#[C:12][CH3:13].[CH3:1][C:2](=[O:3])[CH:4]=[O+:5][CH-:6][C:7]([CH3:8])=[O:9]>>[CH3:1][C:2](=[O:3])[CH:4]1[O:5][CH:6]([C:7]([CH3:8])=[O:9])[C:10]([F:11])=[C:12]1[CH3:13],9.288554883851594
[CH3:1][CH-:4][NH+:3]=[CH2:2].[C:5]1([F:6])=[C:12]([F:13])[CH:10]2[CH:9]=[CH:8][CH:7]1[O:11]2>>[CH3:1][CH:2]1[NH:3][CH2:4][C:5]2([F:6])[CH:7]3[CH:8]=[CH:9][CH:10]([O:11]3)[C:12]12[F:13],6.576977403964177
[CH3:1][CH-:4][NH+:3]=[CH2:2].[CH:5]1=[CH:13][CH:8]2[O:7][CH:6]1[C:11]([F:12])=[C:9]2[F:10]>>[CH3:1][CH:2]1[NH:3][CH2:4][CH:5]2[CH:6]3[O:7][CH:8]([C:9]([F:10])=[C:11]3[F:12])[CH:13]12,10.600451111291504
[CH3:1][O:2][C:3](=[O:4])[C:5]#[CH:6].[N-:7]([C:8]([CH3:9])=[O:10])[O+:11]=[N:12][C:13]#[N:14]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1=[CH:6][N:7]([C:8]([CH3:9])=[O:10])[O:11][N:12]1[C:13]#[N:14],4.4482037793433165
[CH3:1][O:2][C:3](=[O:4])[C:5]#[CH:6].[N:7]([C:8]#[N:9])=[O+:10][N-:11][C:12]([CH3:13])=[O:14]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1=[CH:6][N:7]([C:8]#[N:9])[O:10][N:11]1[C:12]([CH3:13])=[O:14],5.025011958494998
[C:9](\[CH3:10])([F:11])=[C:12](\[CH3:13])[F:14].[CH3:1][C:2](=[O:3])[N-:4][N+:5]#[C:6][C:7]#[N:8]>>[CH3:1][C:2](=[O:3])[N:4]1[N:5]=[C:6]([C:7]#[N:8])[C@:9]([CH3:10])([F:11])[C@:12]1([CH3:13])[F:14],21.010449656942672
[CH:10]#[C:11][C:12]([CH3:13])=[O:14].[CH3:1][O:2][C:3](=[O:4])[N-:5][O+:6]=[C:7]([CH3:8])[CH3:9]>>[CH3:1][O:2][C:3](=[O:4])[N:5]1[O:6][C:7]([CH3:8])([CH3:9])[CH:10]=[C:11]1[C:12]([CH3:13])=[O:14],20.107811511183016
[CH:6]#[C:7][C:8]([CH3:9])=[O:10].[CH3:1][O:2][C:3](=[O:4])[N-:5][O+:14]=[C:11]([CH3:12])[CH3:13]>>[CH3:1][O:2][C:3](=[O:4])[N:5]1[CH:6]=[C:7]([C:8]([CH3:9])=[O:10])[C:11]([CH3:12])([CH3:13])[O:14]1,18.05668151197062
[C-:8]([C:9]#[N:10])([C:11]#[N:12])[N+:13]#[C:14][CH3:15].[CH3:1][O:2][C:3](=[O:4])[C:5]#[C:6][F:7]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1=[C:6]([F:7])[C:8]([C:9]#[N:10])([C:11]#[N:12])[N:13]=[C:14]1[CH3:15],17.645399883593914
[NH-:9][O+:10]=[C:11]([CH3:12])[CH3:13].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[O:6][CH:7]1[CH:8]=[CH:14]2>>[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[O:6][CH:7]1[CH:8]1[NH:9][O:10][C:11]([CH3:12])([CH3:13])[CH:14]21,15.219124659720332
[NH-:10][O+:11]=[C:12]([CH3:13])[CH3:14].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[O:6][CH:7]1[CH:8]=[CH:9]2>>[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[O:6][CH:7]1[CH:8]1[CH:9]2[NH:10][O:11][C:12]1([CH3:13])[CH3:14],11.427268394409836
[CH3:1][O:2][C:3](=[O:4])[C:5]#[C:6][CH3:7].[CH2-:8][O+:9]=[C:10]([C:11]#[N:12])[C:13]([CH3:14])=[O:15]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1=[C:6]([CH3:7])[CH2:8][O:9][C:10]1([C:11]#[N:12])[C:13]([CH3:14])=[O:15],11.3613455186223
[CH3:1][O:2][C:3](=[O:4])[C:5]#[C:6][CH3:7].[C:8]([C:9]#[N:10])([C:11]([CH3:12])=[O:13])=[O+:14][CH2-:15]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1=[C:6]([CH3:7])[C:8]([C:9]#[N:10])([C:11]([CH3:12])=[O:13])[O:14][CH2:15]1,9.208923690716231
[CH3:1][C:2](=[O:3])[CH-:4][O+:5]=[CH:6][CH3:7].[CH:8]1=[C:14]([F:15])[CH:12]2[CH:11]=[CH:10][CH:9]1[O:13]2>>[CH3:1][C:2](=[O:3])[CH:4]1[O:5][CH:6]([CH3:7])[CH:8]2[CH:9]3[CH:10]=[CH:11][CH:12]([O:13]3)[C:14]12[F:15],8.471905603499259
[CH3:1][C:2](=[O:3])[CH-:4][O+:5]=[CH:6][CH3:7].[CH:8]1=[CH:15][CH:11]2[O:10][CH:9]1[C:13]([F:14])=[CH:12]2>>[CH3:1][C:2](=[O:3])[CH:4]1[O:5][CH:6]([CH3:7])[CH:8]2[CH:9]3[O:10][CH:11]([CH:12]=[C:13]3[F:14])[CH:15]12,9.38134669899998
[CH3:1][C:2](=[O:3])[CH-:4][O+:5]=[CH:6][CH3:7].[CH:8]1=[CH:15][CH:13]2[C:11]([F:12])=[CH:10][CH:9]1[O:14]2>>[CH3:1][C:2](=[O:3])[CH:4]1[O:5][CH:6]([CH3:7])[CH:8]2[CH:9]3[CH:10]=[C:11]([F:12])[CH:13]([O:14]3)[CH:15]12,11.138215597379675
[N:10]([C:11]([CH3:12])=[O:13])=[NH+:14][O-:15].[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][C:7]([CH3:8])=[O:9]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([C:7]([CH3:8])=[O:9])[N:10]([C:11]([CH3:12])=[O:13])[NH:14][O:15]1,30.527135917761505
[O-:10][NH+:11]=[N:12][C:13]([CH3:14])=[O:15].[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][C:7]([CH3:8])=[O:9]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([C:7]([CH3:8])=[O:9])[O:10][NH:11][N:12]1[C:13]([CH3:14])=[O:15],31.10197167892824
[CH:8]1=[C:14]([F:15])[CH:12]2[CH2:11][CH2:10][CH:9]1[CH2:13]2.[CH3:1][NH:2][C:3](=[O:4])[C:5]#[N+:6][CH2-:7]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[N:6][CH2:7][CH:8]2[CH:9]3[CH2:10][CH2:11][CH:12]([CH2:13]3)[C:14]12[F:15],15.297343111329251
[C:8]1([F:9])=[CH:15][CH:13]2[CH2:12][CH2:11][CH:10]1[CH2:14]2.[CH3:1][NH:2][C:3](=[O:4])[C:5]#[N+:6][CH2-:7]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[N:6][CH2:7][C:8]2([F:9])[CH:10]3[CH2:11][CH2:12][CH:13]([CH2:14]3)[CH:15]12,15.650014255362608
[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][O:7][CH3:8].[C:9]([CH3:10])([C:11]#[N:12])=[O+:13][CH-:14][CH3:15]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([O:7][CH3:8])[C:9]([CH3:10])([C:11]#[N:12])[O:13][CH:14]1[CH3:15],10.15542011083826
[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][O:7][CH3:8].[CH-:9]([CH3:10])[O+:11]=[C:12]([CH3:13])[C:14]#[N:15]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([O:7][CH3:8])[CH:9]([CH3:10])[O:11][C:12]1([CH3:13])[C:14]#[N:15],11.25015930928999
[CH3:1][O:2][C:3](=[O:4])[C:5]1=[CH:10][CH:11]2[CH2:12][CH2:13][CH:14]1[CH2:15]2.[CH2-:6][N+:7]#[C:8][CH3:9]>>[CH3:1][O:2][C:3](=[O:4])[C:5]12[CH2:6][N:7]=[C:8]([CH3:9])[CH:10]1[CH:11]1[CH2:12][CH2:13][CH:14]2[CH2:15]1,6.415957409353537
[CH3:1][O:2][C:3](=[O:4])[C:5]1=[CH:10][CH:11]2[CH2:12][CH2:13][CH:14]1[CH2:15]2.[C:6]([CH3:7])#[N+:8][CH2-:9]>>[CH3:1][O:2][C:3](=[O:4])[C:5]12[C:6]([CH3:7])=[N:8][CH2:9][CH:10]1[CH:11]1[CH2:12][CH2:13][CH:14]2[CH2:15]1,7.586041208705088
[C:12]([CH3:13])#[C:14][F:15].[CH3:1][O:2][C:3](=[O:4])[C-:5]([C:6]#[N:7])[O+:8]=[C:9]([CH3:10])[CH3:11]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1([C:6]#[N:7])[O:8][C:9]([CH3:10])([CH3:11])[C:12]([CH3:13])=[C:14]1[F:15],19.05139380688601
[CH:7]#[C:8][CH3:9].[CH3:1][O:2][C:3](=[O:4])[C-:5]([CH3:6])[O+:15]=[C:10]([CH3:11])[C:12]([CH3:13])=[O:14]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[CH:7]=[C:8]([CH3:9])[C:10]([CH3:11])([C:12]([CH3:13])=[O:14])[O:15]1,13.28564364576996
[CH:13]#[C:14][CH3:15].[CH3:1][O:2][C:3](=[O:4])[C-:5]([CH3:6])[O+:7]=[C:8]([CH3:9])[C:10]([CH3:11])=[O:12]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[O:7][C:8]([CH3:9])([C:10]([CH3:11])=[O:12])[CH:13]=[C:14]1[CH3:15],14.271153794696234
[CH3:1][O:2][C:3]#[C:4][C:5]#[N:6].[C:7]([c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1)#[N+:14][CH-:15][C:16]#[N:17]>>[CH3:1][O:2][C:3]1=[C:4]([C:5]#[N:6])[C:7]([c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)=[N:14][CH:15]1[C:16]#[N:17],13.02534968232846
[CH3:1][O:2][C:3]#[C:4][C:5]#[N:6].[CH-:7]([C:8]#[N:9])[N+:10]#[C:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[CH3:1][O:2][C:3]1=[C:4]([C:5]#[N:6])[CH:7]([C:8]#[N:9])[N:10]=[C:11]1[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,13.939306376283724
[CH:9]#[C:10][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1.[CH3:1][O:2][C:3](=[O:4])[C:5]([CH3:6])=[NH+:7][CH2-:8]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[NH:7][CH2:8][CH:9]=[C:10]1[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,15.484566741124024
[CH:7]#[C:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1.[CH3:1][O:2][C:3](=[O:4])[C:5]([CH3:6])=[NH+:16][CH2-:15]>>[CH3:1][O:2][C:3](=[O:4])[C:5]1([CH3:6])[CH:7]=[C:8]([c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[CH2:15][NH:16]1,20.155791709079747
[CH3:1][NH:2][C:3](=[O:4])[C:5]#[N+:6][C-:7]([CH3:8])[C:9]#[N:10].[C:11]([O:12][CH3:13])#[C:14][Cl:15]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[N:6][C:7]([CH3:8])([C:9]#[N:10])[C:11]([O:12][CH3:13])=[C:14]1[Cl:15],18.46758123759725
